,market_price_usd,addresses_with_1000_btc,addresses_with_100_btc,addresses_with_10_btc,addresses_with_1_btc,addresses_with_0.01_btc_x,addresses_with_0.01_btc_y
2010-08-17,0.07,159.0,733.0,51011.0,52871.0,54909.0,54909.0
2010-08-18,0.07,165.0,734.0,50965.0,52823.0,54915.0,54915.0
2010-08-19,0.07,164.0,741.0,51040.0,52901.0,55034.0,55034.0
2010-08-20,0.07,168.0,742.0,51085.0,52951.0,55103.0,55103.0
2010-08-21,0.07,169.0,745.0,51176.0,53041.0,55225.0,55225.0
2010-08-22,0.06,171.0,755.0,51219.0,53089.0,55294.0,55294.0
2010-08-23,0.07,174.0,764.0,51273.0,53143.0,55359.0,55359.0
2010-08-24,0.07,176.0,769.0,51328.0,53193.0,55449.0,55449.0
2010-08-25,0.07,178.0,777.0,51454.0,53322.0,55597.0,55597.0
2010-08-26,0.07,179.0,787.0,51534.0,53322.0,55601.0,55601.0
2010-08-27,0.06,179.0,791.0,51584.0,53370.0,55671.0,55671.0
2010-08-28,0.06,180.0,797.0,51652.0,53442.0,55772.0,55772.0
2010-08-29,0.06,181.0,806.0,51767.0,53560.0,55908.0,55908.0
2010-08-30,0.06,186.0,808.0,51836.0,53605.0,55993.0,55993.0
2010-08-31,0.06,192.0,796.0,51817.0,53582.0,55995.0,55995.0
2010-09-01,0.06,195.0,801.0,51876.0,53637.0,56084.0,56084.0
2010-09-02,0.06,198.0,804.0,51887.0,53649.0,56117.0,56117.0
2010-09-03,0.06,196.0,810.0,51980.0,53747.0,56247.0,56247.0
2010-09-04,0.06,196.0,813.0,52033.0,53802.0,56343.0,56343.0
2010-09-05,0.06,198.0,812.0,52089.0,53861.0,56396.0,56396.0
2010-09-06,0.06,200.0,819.0,52110.0,53884.0,56450.0,56450.0
2010-09-07,0.06,201.0,822.0,52180.0,53958.0,56542.0,56542.0
2010-09-08,0.06,202.0,830.0,52267.0,54049.0,56640.0,56640.0
2010-09-09,0.06,205.0,832.0,52331.0,54121.0,56730.0,56730.0
2010-09-10,0.06,205.0,834.0,52413.0,54201.0,56834.0,56834.0
2010-09-11,0.06,208.0,833.0,52516.0,54307.0,56939.0,56939.0
2010-09-12,0.06,212.0,834.0,52455.0,54253.0,56914.0,56914.0
2010-09-13,0.06,216.0,848.0,52508.0,54304.0,56982.0,56982.0
2010-09-14,0.06,220.0,848.0,52585.0,54388.0,57071.0,57071.0
2010-09-15,0.06,221.0,840.0,52647.0,54454.0,57161.0,57161.0
2010-09-16,0.06,220.0,837.0,52665.0,54468.0,57180.0,57180.0
2010-09-17,0.06,223.0,846.0,52263.0,54069.0,56797.0,56797.0
2010-09-18,0.06,223.0,850.0,52384.0,54182.0,56925.0,56925.0
2010-09-19,0.06,226.0,857.0,52349.0,54147.0,56942.0,56942.0
2010-09-20,0.06,227.0,858.0,52441.0,54244.0,57051.0,57051.0
2010-09-21,0.06,231.0,871.0,52438.0,54249.0,57081.0,57081.0
2010-09-22,0.06,232.0,881.0,52519.0,54321.0,57193.0,57193.0
2010-09-23,0.06,232.0,878.0,52579.0,54396.0,57265.0,57265.0
2010-09-24,0.06,233.0,880.0,52667.0,54504.0,57381.0,57381.0
2010-09-25,0.06,232.0,887.0,52727.0,54555.0,57433.0,57433.0
2010-09-26,0.06,231.0,885.0,52808.0,54638.0,57509.0,57509.0
2010-09-27,0.06,234.0,892.0,52532.0,54362.0,57251.0,57251.0
2010-09-28,0.06,236.0,894.0,51635.0,53455.0,56330.0,56330.0
2010-09-29,0.06,239.0,900.0,51635.0,53448.0,56378.0,56378.0
2010-09-30,0.06,242.0,900.0,51672.0,53489.0,56491.0,56491.0
2010-10-01,0.06,244.0,897.0,51726.0,53542.0,56563.0,56563.0
2010-10-02,0.06,238.0,890.0,51727.0,53556.0,56617.0,56617.0
2010-10-03,0.06,239.0,897.0,51767.0,53605.0,56690.0,56690.0
2010-10-04,0.06,247.0,910.0,51698.0,53520.0,56642.0,56642.0
2010-10-05,0.06,247.0,909.0,51756.0,53583.0,56693.0,56693.0
2010-10-06,0.06,248.0,910.0,51803.0,53640.0,56765.0,56765.0
2010-10-07,0.06,239.0,909.0,51790.0,53636.0,56775.0,56775.0
2010-10-08,0.08,241.0,919.0,51675.0,53525.0,56686.0,56686.0
2010-10-09,0.09,244.0,921.0,51671.0,53517.0,56697.0,56697.0
2010-10-10,0.1,242.0,911.0,51744.0,53596.0,56803.0,56803.0
2010-10-11,0.1,245.0,920.0,51781.0,53642.0,56884.0,56884.0
2010-10-12,0.09,243.0,930.0,51812.0,53678.0,56954.0,56954.0
2010-10-13,0.1,251.0,938.0,51598.0,53474.0,56777.0,56777.0
2010-10-14,0.1,249.0,946.0,51674.0,53555.0,56864.0,56864.0
2010-10-15,0.1,251.0,956.0,51744.0,53633.0,56959.0,56959.0
2010-10-16,0.1,254.0,958.0,51617.0,53519.0,56891.0,56891.0
2010-10-17,0.1,254.0,967.0,51722.0,53614.0,57020.0,57020.0
2010-10-18,0.1,253.0,972.0,51835.0,53725.0,57140.0,57140.0
2010-10-19,0.1,259.0,975.0,51982.0,53868.0,57368.0,57368.0
2010-10-20,0.1,258.0,983.0,52104.0,54015.0,57494.0,57494.0
2010-10-21,0.1,259.0,995.0,52117.0,54026.0,57521.0,57521.0
2010-10-22,0.11,261.0,990.0,52183.0,54087.0,57595.0,57595.0
2010-10-23,0.11,261.0,991.0,52250.0,54160.0,57727.0,57727.0
2010-10-24,0.11,261.0,991.0,52328.0,54246.0,57897.0,57897.0
2010-10-25,0.15,262.0,992.0,52421.0,54338.0,57963.0,57963.0
2010-10-26,0.16,259.0,990.0,52582.0,54495.0,58190.0,58190.0
2010-10-27,0.18,260.0,980.0,52577.0,54501.0,58240.0,58240.0
2010-10-28,0.19,262.0,985.0,52526.0,54460.0,58256.0,58256.0
2010-10-29,0.19,268.0,993.0,52626.0,54545.0,58292.0,58292.0
2010-10-30,0.19,267.0,994.0,52721.0,54627.0,58404.0,58404.0
2010-10-31,0.19,270.0,1000.0,52690.0,54601.0,58428.0,58428.0
2010-11-01,0.19,268.0,1007.0,52794.0,54709.0,58505.0,58505.0
2010-11-02,0.19,268.0,1015.0,52899.0,54817.0,58615.0,58615.0
2010-11-03,0.19,270.0,1022.0,52974.0,54895.0,58710.0,58710.0
2010-11-04,0.21,271.0,1019.0,53012.0,54936.0,58767.0,58767.0
2010-11-05,0.24,273.0,1017.0,53014.0,54936.0,58716.0,58716.0
2010-11-06,0.29,273.0,1016.0,53125.0,55048.0,58852.0,58852.0
2010-11-07,0.36,277.0,1035.0,53237.0,55166.0,58981.0,58981.0
2010-11-08,0.32,280.0,1038.0,52559.0,54500.0,58352.0,58352.0
2010-11-09,0.27,285.0,1046.0,52649.0,54583.0,58449.0,58449.0
2010-11-10,0.2,289.0,1062.0,52741.0,54693.0,58586.0,58586.0
2010-11-11,0.22,297.0,1064.0,52855.0,54812.0,58747.0,58747.0
2010-11-12,0.26,299.0,1076.0,52933.0,54888.0,58849.0,58849.0
2010-11-13,0.29,301.0,1095.0,53020.0,54977.0,58930.0,58930.0
2010-11-14,0.28,307.0,1106.0,52813.0,54779.0,58794.0,58794.0
2010-11-15,0.27,307.0,1112.0,52912.0,54875.0,58943.0,58943.0
2010-11-16,0.25,312.0,1120.0,52909.0,54872.0,59015.0,59015.0
2010-11-17,0.26,310.0,1137.0,53025.0,54995.0,59177.0,59177.0
2010-11-18,0.27,312.0,1146.0,53158.0,55134.0,59335.0,59335.0
2010-11-19,0.27,315.0,1159.0,53163.0,55141.0,59372.0,59372.0
2010-11-20,0.28,312.0,1167.0,53236.0,55240.0,59535.0,59535.0
2010-11-21,0.28,311.0,1168.0,53292.0,55296.0,59665.0,59665.0
2010-11-22,0.28,310.0,1172.0,53368.0,55357.0,59774.0,59774.0
2010-11-23,0.28,315.0,1161.0,53371.0,55356.0,59803.0,59803.0
2010-11-24,0.28,317.0,1168.0,53374.0,55369.0,59843.0,59843.0
2010-11-25,0.28,314.0,1168.0,53433.0,55427.0,60002.0,60002.0
2010-11-26,0.28,316.0,1180.0,53501.0,55501.0,60154.0,60154.0
2010-11-27,0.28,318.0,1186.0,53532.0,55529.0,60249.0,60249.0
2010-11-28,0.28,316.0,1190.0,53662.0,55659.0,60414.0,60414.0
2010-11-29,0.25,318.0,1193.0,53661.0,55663.0,60441.0,60441.0
2010-11-30,0.21,314.0,1191.0,53750.0,55758.0,60612.0,60612.0
2010-12-01,0.21,318.0,1198.0,53588.0,55597.0,60626.0,60626.0
2010-12-02,0.24,315.0,1203.0,53600.0,55617.0,60715.0,60715.0
2010-12-03,0.25,314.0,1208.0,53481.0,55501.0,60657.0,60657.0
2010-12-04,0.23,313.0,1202.0,53613.0,55632.0,60871.0,60871.0
2010-12-05,0.21,315.0,1205.0,53738.0,55761.0,61073.0,61073.0
2010-12-06,0.2,319.0,1222.0,53910.0,55931.0,61311.0,61311.0
2010-12-07,0.22,327.0,1233.0,53868.0,55893.0,61398.0,61398.0
2010-12-08,0.23,328.0,1236.0,53994.0,56021.0,61604.0,61604.0
2010-12-09,0.21,325.0,1244.0,54099.0,56122.0,61776.0,61776.0
2010-12-10,0.19,323.0,1246.0,54198.0,56232.0,61971.0,61971.0
2010-12-11,0.22,324.0,1250.0,54302.0,56345.0,62272.0,62272.0
2010-12-12,0.21,325.0,1262.0,54378.0,56428.0,62623.0,62623.0
2010-12-13,0.22,329.0,1268.0,53953.0,56003.0,62453.0,62453.0
2010-12-14,0.23,331.0,1273.0,54042.0,56090.0,62754.0,62754.0
2010-12-15,0.24,330.0,1268.0,54165.0,56216.0,63034.0,63034.0
2010-12-16,0.25,336.0,1279.0,54225.0,56283.0,63228.0,63228.0
2010-12-17,0.25,335.0,1278.0,54328.0,56413.0,63412.0,63412.0
2010-12-18,0.25,336.0,1276.0,54445.0,56543.0,63661.0,63661.0
2010-12-19,0.24,338.0,1287.0,54417.0,56513.0,63770.0,63770.0
2010-12-20,0.26,340.0,1297.0,54402.0,56525.0,63849.0,63849.0
2010-12-21,0.25,344.0,1307.0,54503.0,56636.0,64052.0,64052.0
2010-12-22,0.25,346.0,1317.0,54460.0,56618.0,64171.0,64171.0
2010-12-23,0.25,346.0,1320.0,54588.0,56762.0,64388.0,64388.0
2010-12-24,0.25,346.0,1318.0,54670.0,56848.0,64569.0,64569.0
2010-12-25,0.25,349.0,1322.0,54751.0,56961.0,64865.0,64865.0
2010-12-26,0.25,350.0,1332.0,54822.0,57054.0,65073.0,65073.0
2010-12-27,0.26,353.0,1334.0,54649.0,56887.0,64986.0,64986.0
