datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,fear_greed_category,lightning_nodes,lightning_capacity_usd
2010-08-17,0.07,3745849,262209.5,196685.58974620892,0.24989144273487834,164118.2606561354,494.0,0.0,0,0.0,0.0
2010-08-18,0.07,3752499,262675.0,197235.61757000405,0.24912680091366118,515562.4979641215,726.0,0.0,0,0.0,0.0
2010-08-19,0.07,3759249,263147.5,197700.63295772497,0.24870791872343467,101475.64458078668,470.0,0.0,0,0.0,0.0
2010-08-20,0.07,3768899,263823.0,198328.72760630475,0.24825080600893498,113823.05527129644,656.0,0.0,0,0.0,0.0
2010-08-21,0.07,3777549,264428.5,198997.94546703246,0.2474413859813429,484113.6336902842,528.0,0.0,0,0.0,0.0
2010-08-22,0.06,3788150,227289.0,199772.84168195762,0.12106242852950375,511875.38375370245,586.0,0.0,0,0.0,0.0
2010-08-23,0.07,3798799,265916.0,200456.78924391835,0.24616499479565596,49971.75789849514,653.0,0.0,0,0.0,0.0
2010-08-24,0.07,3809549,266668.5,201173.39277889082,0.24560496354503505,136880.46646134293,632.0,0.0,0,0.0,0.0
2010-08-25,0.07,3820349,267424.5,201878.84047592586,0.24509968056058493,48761.10538761617,499.0,0.0,0,0.0,0.0
2010-08-26,0.07,3830849,268159.5,202548.92290019794,0.2446699710426148,50685.03942222244,652.0,0.0,0,0.0,0.0
2010-08-27,0.06,3839400,230364.0,203157.95387495324,0.11810025058189111,472781.2999177051,497.0,0.0,0,0.0,0.0
2010-08-28,0.06,3847900,230874.0,203701.88043238904,0.11769241910137548,65600.20057499543,527.0,0.0,0,0.0,0.0
2010-08-29,0.06,3856000,231360.0,204213.1190880819,0.11733610352661694,87769.27289988461,390.0,0.0,0,0.0,0.0
2010-08-30,0.06,3863450,231807.0,204709.24799368775,0.11689790216133357,94973.01727070578,522.0,0.0,0,0.0,0.0
2010-08-31,0.06,3872650,232359.0,205164.24959423748,0.1170376460811181,1024273.2894912568,734.0,0.0,0,0.0,0.0
2010-09-01,0.06,3880500,232830.0,205623.31056798983,0.11685216437748645,298812.6023218332,603.0,0.0,0,0.0,0.0
2010-09-02,0.06,3888300,233298.0,206134.72159267162,0.11643168140030512,138329.75551052156,543.0,0.0,0,0.0,0.0
2010-09-03,0.06,3896500,233790.0,206593.0830834439,0.11633053987149196,434381.329450813,500.0,0.0,0,0.0,0.0
2010-09-04,0.06,3905550,234333.0,207141.64405416188,0.11603724591004307,113186.35227175945,451.0,0.0,0,0.0,0.0
2010-09-05,0.06,3913800,234828.0,207734.97263291976,0.11537392204967142,2230063.117397092,548.0,0.0,0,0.0,0.0
2010-09-06,0.06,3921700,235302.0,208134.03168597288,0.11545999742470155,378160.157284956,511.0,0.0,0,0.0,0.0
2010-09-07,0.06,3929700,235782.0,208614.8322507226,0.11522155104833025,326134.05173981364,403.0,0.0,0,0.0,0.0
2010-09-08,0.06,3937950,236277.0,209108.98224989968,0.1149837595284362,98144.00978785634,545.0,0.0,0,0.0,0.0
2010-09-09,0.06,3944700,236682.0,209615.6842129526,0.11435730552829286,961821.7411545712,514.0,0.0,0,0.0,0.0
2010-09-10,0.06,3953550,237213.0,210152.84793685965,0.11407533340559056,42568.11680891197,541.0,0.0,0,0.0,0.0
2010-09-11,0.06,3961550,237693.0,210658.65806679163,0.11373638236384064,95703.85600185137,433.0,0.0,0,0.0,0.0
2010-09-12,0.06,3970400,238224.0,211210.73572288197,0.11339438627979559,369779.1486253245,711.0,0.0,0,0.0,0.0
2010-09-13,0.06,3978950,238737.0,211780.618387313,0.11291245853255671,527927.3564206166,718.0,0.0,0,0.0,0.0
2010-09-14,0.06,3989100,239346.0,212408.33479889567,0.11254696214310803,185875.9174001165,664.0,0.0,0,0.0,0.0
2010-09-15,0.06,3997550,239853.0,212766.26237251228,0.112930576759464,805093.7078019498,662.0,0.0,0,0.0,0.0
2010-09-16,0.06,4008500,240510.0,213518.9543158771,0.11222421389598307,892135.8093680518,685.0,0.0,0,0.0,0.0
2010-09-17,0.06,4018900,241134.0,214331.25664579865,0.11115289985734632,10098342.29593336,1003.0,0.0,0,0.0,0.0
2010-09-18,0.06,4030750,241845.0,215041.1016106793,0.1108308974314983,319781.24994560104,562.0,0.0,0,0.0,0.0
2010-09-19,0.06,4041200,242472.0,215746.30132589454,0.11022179333739754,245147.8528040897,654.0,0.0,0,0.0,0.0
2010-09-20,0.06,4051350,243081.0,216352.5878929864,0.10995681318989803,368814.34262326034,705.0,0.0,0,0.0,0.0
2010-09-21,0.06,4059950,243597.0,216904.8193156528,0.10957516178092178,130890.83535703793,1216.0,0.0,0,0.0,0.0
2010-09-22,0.06,4068650,244119.0,217453.4195594463,0.10923189280864534,328745.6848256898,1039.0,0.0,0,0.0,0.0
2010-09-23,0.06,4080350,244821.0,218199.48109295956,0.10873870667565465,932509.0225913224,1049.0,0.0,0,0.0,0.0
2010-09-24,0.06,4091750,245505.0,218918.76781273296,0.10829201925527808,95541.6583928245,807.0,0.0,0,0.0,0.0
